pay_mon,fullname,pay_countpermon,pay_amount
01-02-2007 00:00,Ana Bradley,4,19.96
01-03-2007 00:00,Ana Bradley,16,71.84
01-04-2007 00:00,Ana Bradley,12,72.88
01-05-2007 00:00,Ana Bradley,1,2.99
01-02-2007 00:00,Clara Shaw,6,22.94
01-03-2007 00:00,Clara Shaw,16,72.84
01-04-2007 00:00,Clara Shaw,18,93.82
01-02-2007 00:00,Curtis Irby,6,22.94
01-03-2007 00:00,Curtis Irby,17,86.83
01-04-2007 00:00,Curtis Irby,14,54.86
01-05-2007 00:00,Curtis Irby,1,2.99
01-02-2007 00:00,Eleanor Hunt,5,22.95
01-03-2007 00:00,Eleanor Hunt,18,87.82
01-04-2007 00:00,Eleanor Hunt,22,100.78
01-02-2007 00:00,Karl Seal,9,41.91
01-03-2007 00:00,Karl Seal,13,76.87
01-04-2007 00:00,Karl Seal,20,89.8
01-02-2007 00:00,Marcia Dean,8,37.92
01-03-2007 00:00,Marcia Dean,10,53.9
01-04-2007 00:00,Marcia Dean,20,73.8
01-05-2007 00:00,Marcia Dean,1,0.99
01-02-2007 00:00,Marion Snyder,8,44.92
01-03-2007 00:00,Marion Snyder,12,58.88
01-04-2007 00:00,Marion Snyder,18,85.82
01-05-2007 00:00,Marion Snyder,1,4.99
01-02-2007 00:00,Mike Way,6,35.94
01-03-2007 00:00,Mike Way,15,64.85
01-04-2007 00:00,Mike Way,12,61.88
01-02-2007 00:00,Rhonda Kennedy,4,19.96
01-03-2007 00:00,Rhonda Kennedy,15,74.85
01-04-2007 00:00,Rhonda Kennedy,19,96.81
01-02-2007 00:00,Tommy Collazo,7,25.93
01-03-2007 00:00,Tommy Collazo,12,67.88
01-04-2007 00:00,Tommy Collazo,18,89.82
